startup_name,domain,round,amount_usd,investor,date,source,scraped_at,headquarters
Intellend Technologies Advisors,Alternative Lending,Seed,1200000.0,Incubate Fund India,,,2026-05-25,Maharashtra
Mufin Finance,Alternative Lending,Debt,12000000.0,Finnfund,,,2026-05-25,Delhi
ClimaCrew,Aquaculture,Angel,1670000.0,Undisclosed,,,2026-05-25,Maharashtra
Aqua Exchange,Aquaculture Tech,Series B,8000000.0,Endiya Partners,,,2026-05-25,Andhra Pradesh
Captain Fresh,Aquaculture Tech,Debt,31400000.0,Blue Earth Capital,,,2026-05-25,Karnataka
Corel Lifecare,Aquaculture Tech,Angel,133000.0,Anupam Mittal,,,2026-05-25,Maharashtra
StepOut,Artificial Intelligence,Seed,1500000.0,Rainmatter,,,2026-05-25,Karnataka
Fortuna Engineering,Auto > Auto Components,Unattributed,13600000.0,Bharat Forge,,,2026-05-25,Maharashtra
Smart Garage,Auto > Auto Retail & Aftersales,Seed,258000.0,Undisclosed,,,2026-05-25,-
NASH,Auto Components,PE,,ChrysCapital,,,2026-05-25,Karnataka
Hala Mobility,Auto E-Commerce & Content,Series A,1350000.0,Recur Club,,,2026-05-25,Telangana
Hala Mobility,Auto E-Commerce & Content,Debt,,Recur Club,,,2026-05-25,Telangana
PumPumPum,Auto Retail,Seed,2000000.0,Lighthouse Canton,,,2026-05-25,Haryana
RoshAi,Auto Tech > Autonomous Vehicles,Seed,2360000.0,Indian Angel Network,,,2026-05-25,Ohio / Kerala
REGRIP,Auto – Auto Retail & Aftersales,Debt,545000.0,Undisclosed,,,2026-05-25,Haryana
REGRIP,Auto – Auto Retail & Aftersales,Seed,1660000.0,Auxano,,,2026-05-25,Haryana
For Real,B2B E-Commerce,Seed,352000.0,Titan Capital,,,2026-05-25,Haryana
Knight FinTech,Banking Technology,Series A,23600000.0,Accel,,,2026-05-25,Maharashtra
&Done,Beauty & Personal Care,Series A,3000000.0,RTP Global,,,2026-05-25,Haryana
Antinorm,Beauty & Personal Care,Angel,112000.0,Anupam Mittal,,,2026-05-25,Delhi
Antinorm,Beauty & Personal Care,Seed,3110000.0,Fireside Ventures,,,2026-05-25,Delhi
Fabpad,Beauty & Personal Care,Seed,,Inflection Point Ventures,,,2026-05-25,West Bengal
KUHI BATH,Beauty & Personal Care,Grant,11100.0,Government of Assam,,,2026-05-25,Assam
Phitku,Beauty & Personal Care,Angel,205000.0,Aman Gupta,,,2026-05-25,West Bengal
Be Clinical,Beauty Tech,Seed,665000.0,V3 Ventures,,,2026-05-25,Delhi
House of EM5,Beauty Tech,Angel,,Suryakumar Yadav,,,2026-05-25,Madhya Pradesh
Pee Safe,Beauty Tech,Series C,,Orbimed,,,2026-05-25,Haryana
Truth And Hair,Beauty Tech,Angel,277000.0,Varun Alagh,,,2026-05-25,Haryana
Dview,Business Intelligence,Seed,,Grand View Research,,,2026-05-25,Karnataka
Securityfiresystems,Business Services,Debt,,Prospect Capital Management,,,2026-05-25,USA
Securityfiresystems,Business Services,Series B,26000000.0,Prospect Capital Management,,,2026-05-25,USA
Deccan AI,Business Services > AI Services,Series A,25000000.0,A91 Partners,,,2026-05-25,"California, Telangana"
Panoculon Labs,Business Services > AI Services,Grant,,Saksham,,,2026-05-25,Tamil Nadu
SILA,Business Services > Consulting,PE,100000000.0,Permira,,,2026-05-25,Maharashtra
Navikenz,Business Services > Digital Transformation Services,Seed,7500000.0,Sudip Nandy,,,2026-05-25,New Jersey / Uttar Pradesh
Kaar Technologies,Business Services > ERP Services,Series B,11000000.0,Playbook Partners,,,2026-05-25,"Tamil Nadu, India"
OFF BEAT,Business Services > HR,Seed,10700000.0,Bessemer Venture Partners,,,2026-05-25,Delhi
63SATS,Business Services – IT Services,Series B,26700000.0,Aarii Ventures,,,2026-05-25,Maharashtra
Wholeleaf,Cannabis HealthTech,Angel,166000.0,Aman Gupta,,,2026-05-25,Delhi
NowPurchase,Chemicals and Materials Tech > Materials Tech,Series B,8500000.0,Bajaj Finserv,,,2026-05-25,West Bengal
NowPurchase,Chemicals and Materials Tech > Materials Tech,Series B,8500000.0,Orios Venture Partners,,,2026-05-25,West Bengal
Varaha,ClimateTech,Series B,20000000.0,WestBridge Capital,,,2026-05-25,Haryana
House Of Diagnostics,Clinical Laboratory Chains,Seed,,360 One,,,2026-05-25,Delhi
Qure.ai,Clinical Labs IT,Grant,,Gates Foundation,,,2026-05-25,"Maharashtra, New York"
Neverinstall,Cloud OS,Seed,,Equirus Capital,,,2026-05-25,Karnataka
HandyPanda,Construction Tech,Seed,222000.0,ajvc,,,2026-05-25,Haryana
Rapido,Consumer,Series F,240000000.0,Prosus,,,2026-05-25,Karnataka
The Hosteller,Consumer (Online Travel),Series B,16100000.000000002,Promaft Partners,,,2026-05-25,Maharashtra
Helium,Consumer (Residential Real Estate Tech),Angel,536000.0,Albinder Dhindsa,,,2026-05-25,Karnataka
RoamPrime,Consumer - Auto E-Commerce,Seed,320000.0,Kriscore,,,2026-05-25,Karnataka
Canvaloop,Consumer - Fashion Tech,Series A,1440000.0,Gujarat Venture Finance,,,2026-05-25,Gujarat
LETZRYD,Consumer - Road Transport Tech,Series A,4000000.0,15th Rock,,,2026-05-25,Karnataka
sprect,Consumer > Communication Apps,Seed,212000.0,Subhkam Ventures,,,2026-05-25,Maharashtra
Fanon,Consumer > Digital Publishing Platforms,Seed,1000000.0,Kalaari Capital,,,2026-05-25,Karnataka
Alaya,Consumer > Fashion Tech,Seed,,LC Nueva AIF,,,2026-05-25,Delhi
Chupps,Consumer > Fashion Tech,Series A,,Ajinkya Rahane,,,2026-05-25,Maharashtra
GIVA,Consumer > Fashion Tech,Series C,11100000.0,IQ-EQ,,,2026-05-25,Karnataka
House of Chikankari,Consumer > Fashion Tech,Series A,2650000.0,Cap Alpha,,,2026-05-25,Delhi
Kisah,Consumer > Fashion Tech,Series A,3800000.0,Fireside Ventures,,,2026-05-25,West Bengal
Thread Factory,Consumer > Fashion Tech,Seed,160000.0,Aviral Bhatnagar,,,2026-05-25,Uttar Pradesh
uppercase,Consumer > Fashion Tech,Series B,2150000.0,Accel,,,2026-05-25,Karnataka
uppercase,Consumer > Fashion Tech,Series B,2150000.0,Sixth Sense Ventures,,,2026-05-25,Karnataka
Easy Fix,Consumer > Local Services,Seed,651000.0,Campus Angels Network,,,2026-05-25,"Haryana, India"
Happy Pet Tech,Consumer > Local Services,Angel,,Devi Prasad Shetty,,,2026-05-25,Karnataka
Pronto,Consumer > Local Services,Series B,25000000.0,Epiq Capital,,,2026-05-25,Karnataka
Snabbit,Consumer > Local Services,Series D,56000000.0,SIG Venture Capital,,,2026-05-25,Karnataka
Daakit,Consumer > Logistics Tech,Seed,138000.0,Inflection Point Ventures,,,2026-05-25,Haryana
SuperProcure,Consumer > Logistics Tech,Seed,1600000.0,Pentathlon Ventures,,,2026-05-25,West Bengal
Hoopr,Consumer > Music Tech,Seed,,TCA,,,2026-05-25,Maharashtra
OFF/BEAT,Consumer > Music Tech,Seed,10800000.0,Bessemer Venture Partners,,,2026-05-25,Delhi
Rimigo,Consumer > Online Travel,Angel,109000.0,SGgrow Capital,,,2026-05-25,"Karnataka, India"
Proho,Consumer > Residential Real Estate Tech,Seed,1000000.0,Bharath Vivek Chandhok,,,2026-05-25,Uttar Pradesh
Six Sense Mobility,Consumer > Road Transport Tech,Seed,4800000.0,Piper Serica,,,2026-05-25,Delhi
Daffodil Health,Consumer > Social Platforms,Series A,16300000.0,Flare Capital Partners,,,2026-05-25,Karnataka
Gappu,Consumer > Social Platforms,Debt,22000.0,Amit Jain,,,2026-05-25,Karnataka
Gappu,Consumer > Social Platforms,Angel,11000.0,Amit Jain,,,2026-05-25,Karnataka
Misfits,Consumer > Social Platforms,Angel,110000.0,Kanika Tekriwal,,,2026-05-25,Haryana
Treefe,Consumer > Social Platforms,Seed,,Swishin Ventures,,,2026-05-25,Maharashtra
Kingdom Of Chess,Consumer > Sports Tech,Seed,177000.0,BeyondSeed,,,2026-05-25,Rajasthan
PRED,Consumer > Sports Tech,Seed,2500000.0,Accel,,,2026-05-25,Karnataka
SportsSkill,Consumer > Sports Tech,Angel,,Nirav Mody,,,2026-05-25,Maharashtra
TrEV,Consumer > Transport Tech,Angel,393000.0,Undisclosed,,,2026-05-25,Haryana
Kuku FM,Consumer > Vernacular Platforms,Angel,,Mahendra Singh Dhoni,,,2026-05-25,Maharashtra
Ultrahuman,Consumer Electronics - Health Wearables,Series C,48000000.0,Undisclosed,,,2026-05-25,Karnataka
Grest,Consumer Electronics E-Commerce,Seed,1760000.0,Equentis Wealth Advisory Services,,,2026-05-25,Haryana
Helium Air,Consumer Goods,Seed,2000000.0,India Quotient,,,2026-05-25,Rajasthan
DSLR,Consumer Goods (Apparel),Series A,9000000.0,Z47,,,2026-05-25,Karnataka
Fitkin,Consumer Goods - Apparel,Angel,108000.0,Vineeta Singh,,,2026-05-25,Delhi
Bonkers Corner,Consumer Goods > Apparel Brands,Series A,10500000.0,India SME Investments,,,2026-05-25,"Maharashtra, India"
HealthFab,Consumer Goods > Apparel Brands,Series A,2100000.0,Atomic Capital,,,2026-05-25,Karnataka
My Designation,Consumer Goods > Apparel Brands,Series A,4410000.0,RPSG Capital Ventures,,,2026-05-25,Kerala
Warriorworld,Consumer Goods > Apparel Brands,Angel,82800.0,Vineeta Singh,,,2026-05-25,Gujarat
CHOSEN,Consumer Goods > Beauty & Personal Care,Series A,5000000.0,Fireside Ventures,,,2026-05-25,Tamil Nadu
Puresta,Consumer Goods > Beauty & Personal Care Products,Seed,3700000.0,Spring,,,2026-05-25,Haryana
BabyWorks By Swapnil,Consumer Goods > Fashion Accessories,Angel,66200.0,Aman Gupta,,,2026-05-25,Maharashtra
Ethera,Consumer Goods > Fashion Accessories,Seed,2750000.0,BlueStone,,,2026-05-25,Karnataka
The Artment,Consumer Goods > Home Furnishing Products,Seed,1100000.0,Indian Angel Network,,,2026-05-25,Haryana
Bonkers Corner,Consumer Goods – Apparel,Angel,163000.0,Namita Thapar,,,2026-05-25,Maharashtra
Pronto,Consumer Services,Series B,45000000.0,Lachy Groom,,,2026-05-25,"Haryana, India"
Pronto,Consumer Services,Series B,45000000.0,Bain Capital Ventures,,,2026-05-25,"Haryana, India"
Indel Money,Consumer and SME Loans,Debt,11000000.0,Kotak Alternate Asset Managers,,,2026-05-25,Maharashtra
Namdev Finvest,Consumer and SME Loans,Debt,37000000.0,FMO,,,2026-05-25,Rajasthan
Wonder Home Finance,Consumer and SME Loans,PE,55000000.0,Growtheum Capital Partners,,,2026-05-25,Rajasthan
CAVA Athleisure,Consumer – Fashion Tech,Series A,4350000.0,Sharrp Ventures,,,2026-05-25,Karnataka
Gully Labs,Consumer – Fashion Tech,Angel,109000.0,Aman Gupta,,,2026-05-25,Uttar Pradesh
LearnTube,Continued Learning,Seed,,Indian Angel Network,,,2026-05-25,Maharashtra
Bolna,Customer Service Software,Seed,6300000.0,General Catalyst,,,2026-05-25,Karnataka
C-Zentrix,Customer Service Software,Seed,,Aroa Venture Partners,,,2026-05-25,Haryana
Ringg AI,Customer Service Software,Series A,5500000.0,Arkam Ventures,,,2026-05-25,Karnataka
CloudSEK,Cybersecurity,Series B,,Connecticut Innovations,,,2026-05-25,"Singapore,Karnataka"
Tsecond.ai,Defense Tech > AI Infrastructure,Series B,21500000.0,MSN Holdings,,,2026-05-25,Karnataka
Turiyam.ai,Developer of artificial general intelligence,Seed,4000000.0,Ankur Capital,,,2026-05-25,Karnataka
Atomgrid,Diversified Chemicals,Debt,,Trifecta Capital,,,2026-05-25,Karnataka
insideFPV,Drones,Seed,660000.0,Gujarat Venture Finance,,,2026-05-25,Gujarat
ONDC,E-Commerce,Series A,7320000.0,Zoho,,,2026-05-25,Delhi
RoadGrid,EV Charging Tech,Seed,1330000.0,Venture Catalysts,,,2026-05-25,Uttar Pradesh
Nprep,EdTech,Seed,1500000.0,Lumikai,,,2026-05-25,Rajasthan
Sarrthi IAS,EdTech,Seed,,Physics Wallah,,,2026-05-25,"Delhi, India"
TruScholar,EdTech (K-12 EdTech),Seed,,SucSEED Indovation,,,2026-05-25,Maharashtra
Tutorac Academy,EdTech - Test Preparation Tech,Seed,500000.0,Undisclosed,,,2026-05-25,Telangana
EventBeep,EdTech > Higher Education Tech,Seed,850000.0,Knowhere,,,2026-05-25,Maharashtra
Padhle,EdTech > K-12 EdTech,Seed,,Filadd,,,2026-05-25,"Madhya Pradesh, India"
SpEd@home,EdTech > K-12 EdTech,Grant,,Scitech Park,,,2026-05-25,Maharashtra
Zeromoblt,EdTech > K-12 EdTech,Seed,165000.0,Sandeep Varaganti,,,2026-05-25,Telangana
Skillre,EdTech > Test Preparation Tech,Seed,,Real Time Accelerator Fund,,,2026-05-25,Uttar Pradesh
Varthana,Education Finance,Debt,6000000.0,WaterEquity,,,2026-05-25,Karnataka
GreenCell Mobility,Electric Vehicles,Debt,,IFC,,,2026-05-25,Maharashtra
GreenCell Mobility,Electric Vehicles,Series C,89000000.0,IFC,,,2026-05-25,Maharashtra
Sensesemi,Embedded Systems,Seed,2700000.0,Piper Serica,,,2026-05-25,Karnataka
Roofsol Energy,Energy (Solar Energy),Series B,35600000.0,Undisclosed,,,2026-05-25,Maharashtra
OMC Power,Energy - Solar,Series C,17300000.0,Undisclosed,,,2026-05-25,Haryana
ReNew,Energy - Solar Energy,Post-IPO,95000000.0,LeapFrog Investments,,,2026-05-25,Haryana
Coulomb Litech,Energy > Energy Storage,Seed,2200000.0,Anikarth Ventures,,,2026-05-25,Maharashtra
e-TRNL Energy,Energy > Energy Storage,Seed,3020000.0,Indian Angel Network,,,2026-05-25,Karnataka
Pranos Fusion,Energy > Nuclear Energy,Seed,6800000.0,pi Ventures,,,2026-05-25,Karnataka
Aditya Birla Renewables,Energy > Solar Energy,PE,,Global Infrastructure Partners,,,2026-05-25,Maharashtra
GREW Solar,Energy > Solar Energy,Series D,116000000.0,Bay Capital,,,2026-05-25,Gujarat
Optimist,Energy Efficiency Tech,Seed,12000000.0,Accel,,,2026-05-25,Delhi
NewTrace,Energy Storage,Seed,6300000.0,HDFC Bank,,,2026-05-25,Karnataka
Aloe Ecell,Energy Storage Tech,Debt,110000.0,Recur Club,,,2026-05-25,Rajasthan
Aloe Ecell,Energy Storage Tech,Seed,276000.0,A Velumani,,,2026-05-25,Rajasthan
Chargeup,Energy Storage Tech,Seed,2400000.0,Indian Angel Network,,,2026-05-25,Delhi
MEINE Electric,Energy Storage Tech,Seed,750000.0,Antler,,,2026-05-25,Delhi
Polaris,Energy Tech (Smart Grid),Debt,80000000.0,British International Investment,,,2026-05-25,Rajasthan
Euler Motors,Energy Tech - Electric Vehicles,Series D,8119999.999999999,BlackSoil,,,2026-05-25,Delhi
Battery Smart,Energy Tech > EV,Debt,15000000.0,Mirova,,,2026-05-25,Delhi
Astranova Mobility,Energy Tech > Electric Vehicles,Series A,6490000.0,IvyCap Ventures,,,2026-05-25,Haryana
Bacancy Systems,Energy Tech > Electric Vehicles,Series A,4220000.0,Sabre Partners,,,2026-05-25,Gujarat
Battery Smart,Energy Tech > Electric Vehicles,Series B,7400000.0,Acacia Inclusion,,,2026-05-25,"Delhi, India"
Bounce Infinity,Energy Tech > Electric Vehicles,Series F,3900000.0,Accel,,,2026-05-25,Haryana
Euler Motors,Energy Tech > Electric Vehicles,Series E,47000000.0,Lightrock,,,2026-05-25,Delhi
Pluto Mobility,Energy Tech > Electric Vehicles,Seed,2000000.0,Version One Ventures,,,2026-05-25,Delhi
Zeno,Energy Tech > Electric Vehicles,Series A,25000000.0,Congruent Ventures,,,2026-05-25,"Karnataka, India"
Zeno,Energy Tech > Electric Vehicles,Debt,,Trifecta Capital,,,2026-05-25,"Karnataka, India"
Hycosys,Energy Tech > Energy Storage Tech,Seed,1000000.0,MountTech Growth Fund,,,2026-05-25,Karnataka
ThunderPlus,Energy Tech > Energy Storage Tech,Debt,327000.0,SBI,,,2026-05-25,"Telangana, India"
TruBoard,Energy Tech > Renewable Energy Tech,Seed,2200000.0,Earthfund,,,2026-05-25,Maharashtra
Kimbal,Energy Tech > Smart Grid,Series B,22000000.0,GEF Capital Partners,,,2026-05-25,Delhi
Vimag Labs,Energy Tech – Electric Vehicles,Series A,5000000.0,Accel,,,2026-05-25,Karnataka
Dreamfly Innovations,Energy Tech – Energy Storage Tech,Venture Debt,327000.0,SIDBI,,,2026-05-25,Karnataka
Dhiway,Enterprise Applications,Grant,,HDFC Bank,,,2026-05-25,Karnataka
Entitled,Enterprise Applications,Grant,,HDFC Bank,,,2026-05-25,Maharashtra
SCIkIQ,Enterprise Applications,Seed,1500000.0,Triton Investment Advisors,,,2026-05-25,Haryana
Vobiz,Enterprise Applications,Seed,1000000.0,Piper Serica,,,2026-05-25,"Karnataka, India"
Algo8,Enterprise Applications (Big Data Analytics),Seed,,Chemelex,,,2026-05-25,Uttar Pradesh
TraqCheck,Enterprise Applications (HRTech),Series A,8000000.0,IvyCap Ventures Advisors,,,2026-05-25,Delhi
Intellithink,Enterprise Applications (Manufacturing Tech),Seed,1820000.0,Pentathlon Ventures,,,2026-05-25,Tamil Nadu
GobbleCube,Enterprise Applications (Sales Force Automation),Series A,15000000.0,SIG Venture Capital,,,2026-05-25,Haryana
CometChat,Enterprise Applications - Customer Success,Series A,6500000.0,Run Ventures,,,2026-05-25,Maharashtra
Grapevine,Enterprise Applications - HRTech,Series B,4099999.9999999995,Kae Capital,,,2026-05-25,Karnataka
Bamboobox,Enterprise Applications - MarketingTech,Series A,6600000.0,Peak XV Partners,,,2026-05-25,Karnataka
Aerchain,Enterprise Applications - SCM Software,Series A,13000000.0,Pavestone Capital,,,2026-05-25,Karnataka
Samekar,Enterprise Applications > Business Process Management Software,Seed,5000000.0,CGB Capital,,,2026-05-25,Karnataka
Cheerio AI,Enterprise Applications > Customer Success Management,Seed,868000.0,Artha Venture Fund,,,2026-05-25,"Karnataka, India"
Rocketlane,Enterprise Applications > Enterprise Collaboration,Series C,60000000.0,Insight Partners,,,2026-05-25,"Delaware, Tamil Nadu"
IDfy,Enterprise Applications > GRC Software,Series F,24300000.0,Neo Asset Management,,,2026-05-25,Maharashtra
Amaha,Enterprise Applications > HRTech,Series A,5280000.0,Fireside Ventures,,,2026-05-25,Maharashtra
Atypical Advantage,Enterprise Applications > HRTech,Seed,290000.0,Next Bharat Ventures,,,2026-05-25,Jharkhand
Grapevine,Enterprise Applications > HRTech,Series A,,Peak XV Partners,,,2026-05-25,Karnataka
Kello,Enterprise Applications > HRTech,Seed,,Peak XV Partners,,,2026-05-25,Karnataka
PickMyWork,Enterprise Applications > HRTech,Angel,500000.0,Tim Draper,,,2026-05-25,Haryana
TimBuckDo,Enterprise Applications > HRTech,Seed,298000.0,Turbostart,,,2026-05-25,Karnataka
Lawyered,Enterprise Applications > Legal Tech,Seed,2500000.0,Rainmatter,,,2026-05-25,Haryana
DATOMS,Enterprise Applications > Manufacturing Tech,Series A,2760000.0,Big Capital JSC,,,2026-05-25,Karnataka
Grevoro,Enterprise Applications > Manufacturing Tech,Seed,4730000.0,Undisclosed,,,2026-05-25,Karnataka
Gushwork,Enterprise Applications > MarketingTech,Seed,9000000.0,SIG Venture Capital,,,2026-05-25,"Delaware, Karnataka"
Memfold,Enterprise Applications > MarketingTech,Seed,,Peak XV Partners,,,2026-05-25,-
Kris@Work,Enterprise Applications > Sales Force Automation,Seed,3000000.0,Info Edge Ventures,,,2026-05-25,Karnataka
Spotdraft Legal,Enterprise Applications – RPA,Series B,8000000.0,Qualcomm Ventures,,,2026-05-25,"New York, Karnataka"
Neysa,Enterprise Infrastructure > Cloud Infrastructure,Series B,600000000.0,TVS Capital Funds,,,2026-05-25,Maharashtra
Deep Algorithms,Enterprise Infrastructure > Cybersecurity,Seed,1710000.0,Unicorn India Ventures,,,2026-05-25,Telangana
Satark AI,Enterprise Infrastructure > Cybersecurity,Seed,,Infynno Solutions,,,2026-05-25,Gujarat
Nudgebee,Enterprise Infrastructure > IT Operations,Seed,3000000.0,Kalaari Capital,,,2026-05-25,Maharashtra
Boston Green,Environment - Waste & Water Management,PE,,Fort Point Capital,,,2026-05-25,-
Arya,Environment > Environment Consultancy Services,Seed,,Axis AMC,,,2026-05-25,Karnataka
Reneonix,Environment > Waste & Water Management,Seed,187000.0,Inflection Point Ventures,,,2026-05-25,Tamil Nadu
Earthsync,Environment Tech,Seed,1000000.0,Theia Ventures,,,2026-05-25,Rajasthan
Ecoil,Environment Tech,Series A,2500000.0,Fundalogical Ventures,,,2026-05-25,Rajasthan
Novorbis,Environment Tech > Air Pollution,Seed,1410000.0,Rainmatter,,,2026-05-25,Maharashtra
Prithu,Environment Tech > Air Pollution,Seed,1060000.0,Transition VC,,,2026-05-25,Haryana
Intrinsic Foundries,Environment Tech > Air Pollution Management Tech,Seed,1400000.0,Transition VC,,,2026-05-25,Jharkhand
Varaha,Environment Tech > Air Pollution Management Tech,Series B,2200000.0,Vaom Special Opportunity,,,2026-05-25,Haryana
DigitalPaani,Environment Tech > Water and Wastewater Management Tech,Seed,,AWE Funds,,,2026-05-25,Haryana
ScrapUncle,Environment Tech – Recycling,Seed,2400000.0,Orios Venture Partners,,,2026-05-25,Delhi
RCX Light,Event Management Services,Angel,10900.0,Aman Gupta,,,2026-05-25,Bihar
RCX Light,Event Management Services,Debt,43600.0,Aman Gupta,,,2026-05-25,Bihar
Kesari Awayddings,Events Tech,Debt,109000.0,Aman Gupta,,,2026-05-25,Goa
Kesari Awayddings,Events Tech,Angel,109000.0,Aman Gupta,,,2026-05-25,Goa
Escape Plan,Fashion Tech,Series A,25000000.0,Jungle Ventures,,,2026-05-25,Karnataka
Fiona Diamond,Fashion Tech,Seed,1930000.0,Recur Club,,,2026-05-25,Maharashtra
Gully Labs,Fashion Tech,Series A,3000000.0,Saama Capital,,,2026-05-25,Uttar Pradesh
Invogue Shop,Fashion Tech,Angel,221000.0,Aman Gupta,,,2026-05-25,Delhi
Krvvy,Fashion Tech,Angel,133000.0,Namita Thapar,,,2026-05-25,Uttar Pradesh
ONYC,Fashion Tech,Debt,164000.0,Recur Club,,,2026-05-25,Haryana
ONYC,Fashion Tech,Seed,378000.0,Recur Club,,,2026-05-25,Haryana
Taasha Craft,Fashion Tech,Angel,83000.0,Aman Gupta,,,2026-05-25,Gujarat
Trisu,Fashion Tech,Angel,115000.0,Ankur Mittal,,,2026-05-25,Haryana
ZILO,Fashion Tech,Series A,15300000.0,Peak XV Partners,,,2026-05-25,Maharashtra
ALT,FinTech,Seed,664000.0,Nila Spaces,,,2026-05-25,Karnataka
Ecofy,FinTech,Debt,15000000.0,Mirova,,,2026-05-25,"Maharashtra, India"
Ecofy,FinTech,Debt,15000000.0,FMO,,,2026-05-25,"Maharashtra, India"
FinSpring,FinTech,Seed,,VideoCX,,,2026-05-25,Karnataka
Finsall,FinTech,Grant,,HDFC Bank,,,2026-05-25,Karnataka
Inka Insurance,FinTech,Grant,,HDFC Bank,,,2026-05-25,Rajasthan
Lark Finserv,FinTech,Grant,,HDFC Bank,,,2026-05-25,Uttar Pradesh
Saventh,FinTech,Grant,,HDFC Bank,,,2026-05-25,Maharashtra
ValuEnable,FinTech,Grant,,HDFC Bank,,,2026-05-25,Maharashtra
Xaults,FinTech,Grant,,HDFC Bank,,,2026-05-25,Karnataka
BlackSoil,FinTech - Alternative Lending,Debt,22000000.0,Impact Fund Denmark,,,2026-05-25,Maharashtra
Credilio,FinTech - Alternative Lending,Series A,3300000.0,Cornerstone Ventures,,,2026-05-25,Maharashtra
Ecofy,FinTech - Alternative Lending,Series B,42000000.0,British International Investment,,,2026-05-25,Maharashtra
Finfinity,FinTech - Alternative Lending,Seed,2400000.0,Mankind Pharma Family Office,,,2026-05-25,Maharashtra
Atlas,FinTech > Accounting Tech,Seed,6000000.0,Accel,,,2026-05-25,Karnataka
Dugar Finance,FinTech > Alternative Lending,Seed,5000000.0,Hegdinvst,,,2026-05-25,Tamil Nadu
Dugar Finance,FinTech > Alternative Lending,Seed,5000000.0,Symbiotics Group,,,2026-05-25,Tamil Nadu
Exponent One,FinTech > Alternative Lending,Seed,2000000.0,AdvantEdge,,,2026-05-25,Karnataka
FREED,FinTech > Alternative Lending,Series A,6600000.0,Aavishkaar Capital,,,2026-05-25,Haryana
Indifi,FinTech > Alternative Lending,Debt,4220000.0,BlackSoil,,,2026-05-25,Haryana
KreditBee,FinTech > Alternative Lending,Series E,220000000.0,Motilal Oswal,,,2026-05-25,Karnataka
Oolka,FinTech > Alternative Lending,Series A,14000000.0,Accel,,,2026-05-25,Karnataka
Roopya,FinTech > Alternative Lending,Seed,439000.0,Inflection Point Ventures,,,2026-05-25,Haryana
StrideOne,FinTech > Alternative Lending,Series B,11000000.0,Matrix,,,2026-05-25,"Haryana, India"
StrideOne,FinTech > Alternative Lending,Debt,,Matrix,,,2026-05-25,"Haryana, India"
True Balance,FinTech > Alternative Lending,Debt,10000000.0,Northern Arc Capital,,,2026-05-25,"Haryana, India"
CredResolve,FinTech > Banking Tech,Seed,,Merak Ventures,,,2026-05-25,Haryana
CredResolve,FinTech > Banking Tech,Seed,,PedalStart,,,2026-05-25,Haryana
Sign3,FinTech > Banking Tech,Seed,1500000.0,Cedar Hill Capital (formerly Cedar-IBSi Capital),,,2026-05-25,Haryana
Uncia,FinTech > Banking Tech,Seed,3000000.0,Pavestone Capital,,,2026-05-25,Tamil Nadu
CotoPay,FinTech > Finance & Accounting Tech,Angel,82800.0,Anupam Mittal,,,2026-05-25,Delhi
Bachatt,FinTech > Investment Tech,Series A,12000000.0,Accel,,,2026-05-25,Delhi
Bachatt,FinTech > Investment Tech,Series A,12000000.0,Lightspeed Venture Partners,,,2026-05-25,Delhi
ILIOS 72 Alternative Capital,FinTech > Investment Tech,Seed,215000.0,Undisclosed,,,2026-05-25,Haryana
Sahi,FinTech > Investment Tech,Series B,33000000.0,Accel,,,2026-05-25,Karnataka
Stable Money,FinTech > Investment Tech,Series B,25000000.0,Peak XV Partners,,,2026-05-25,Karnataka
Zanskar,FinTech > Investment Tech,Seed,2700000.0,BlackSoil,,,2026-05-25,Karnataka
7 Ring,FinTech > Payments,Seed,,Shivam Malhotra,,,2026-05-25,Maharashtra
BharatPe,FinTech > Payments,Debt,10000000.0,RevX Capital,,,2026-05-25,"Haryana, India"
Novio,FinTech > Payments,Venture Debt,2440000.0,Innoven Capital,,,2026-05-25,Maharashtra
Novio,FinTech > Payments,Series A,8279999.999999999,Cornerstone Ventures,,,2026-05-25,Maharashtra
Orbit Wallet,FinTech > Payments,Angel,65600.0,100X.VC,,,2026-05-25,"Karnataka, India"
ToneTag,FinTech > Payments,Series B,5000000.0,Qualcomm Ventures,,,2026-05-25,Karnataka
Navanc,FinTech > RegTech,Seed,586000.0,Equentis Wealth Advisory Services,,,2026-05-25,Karnataka
Navanc,FinTech > RegTech,Seed,586000.0,QED Innovation Labs,,,2026-05-25,Karnataka
Easy Home Finance,FinTech – Alternative Lending,Series C,30000000.0,Investcorp,,,2026-05-25,Maharashtra
Olyv,Financial Services,Series C,23000000.0,Fundamentum,,,2026-05-25,Karnataka
PropLegit,Financial Services,Grant,,HDFC Bank,,,2026-05-25,Gujarat
Steadfast Consultants,Financial Services,Seed,,Raju Menon,,,2026-05-25,Telangana
Neo Group,Financial Services - Asset Management,PE,53700000.0,TVS Capital Funds,,,2026-05-25,Maharashtra
Svasti,Financial Services - Microfinance,Debt,,Abler Nordic,,,2026-05-25,Tamil Nadu
Svasti,Financial Services - Microfinance,Series C,5140000.0,Abler Nordic,,,2026-05-25,Tamil Nadu
Optimo Capital,Financial Services - SME Loans,Debt,10800000.0,Punjab National Bank,,,2026-05-25,Karnataka
