startup_name,domain,round,amount_usd,investor,date,source,scraped_at,headquarters
ProjectStudio,Home Improvement Tech,Seed,,Modulor Capital,,,2026-05-25,Haryana
Surya Hospitals,Hospital Chains,PE,,Novo Holdings,,,2026-05-25,Maharashtra
Gati Drives,Industrial Automation Equipment,Seed,,Campus Fund,,,2026-05-25,Gujarat
stch,Industrial Goods and Manufacturing > Contract Manufacturers,Seed,5500000.0,Omnivore,,,2026-05-25,Karnataka
SFO Technologies,Industrial Goods and Manufacturing > Manufacturing Services,PE,82000000.0,Trident Growth Partners,,,2026-05-25,Kerala
JJG Machining Group,Industrial Manufacturing,Series B,30000000.0,Norwest,,,2026-05-25,Karnataka
Bidso,Industrial Manufacturing - Contract Manufacturers,Venture Debt,1280000.0,Alteria Capital,,,2026-05-25,Karnataka
Bidso,Industrial Manufacturing - Contract Manufacturers,Series A,5440000.0,Blume Venture,,,2026-05-25,Karnataka
Veera,Internet Browsers,Seed,4000000.0,Titan,,,2026-05-25,Haryana
Super Living,Internet First Media,Seed,2000000.0,Kae Capital,,,2026-05-25,Maharashtra
GrowthPal,Investment Banks,Series A,2600000.0,Ideaspring Capital,,,2026-05-25,Maharashtra
AssetPlus,Investment Tech,Series B,19300000.0,Nexus Venture Partners,,,2026-05-25,Tamil Nadu
Wint Wealth,Investment Tech,Series B,28000000.0,Vertex Ventures,,,2026-05-25,Karnataka
Jurisphere,Legal Tech,Seed,2200000.0,Info Edge Ventures,,,2026-05-25,"Uttar Pradesh, India"
Cellogen Therapeutics,Life Sciences,Series A,2000000.0,Kotak Alternate Asset Managers,,,2026-05-25,Delhi
Nowound,Life Sciences,Seed,1910000.0,Alkemi Growth Capital,,,2026-05-25,"Haryana, India"
Nowound,Life Sciences,Seed,1910000.0,4point0,,,2026-05-25,"Haryana, India"
Rymo Technologies,Life Sciences - Orthopedics,Seed,1080000.0,Indian Angel Network,,,2026-05-25,Maharashtra
RehabVeda,Life Sciences > Neurology,Angel,110000.0,Mohit Yadav,,,2026-05-25,Gujarat
Fullife,Life Sciences > Nutraceuticals Tech,Series D,32000000.0,Elev8,,,2026-05-25,Maharashtra
Zeroharm,Life Sciences > Nutraceuticals Tech,Series A,4410000.0,Kotak Life Sciences Fund I,,,2026-05-25,Telangana
The Stack,Life Sciences – Nutraceuticals,Seed,600000.0,OTP Ventures,,,2026-05-25,Karnataka
4baseCare,Life Sciences – Oncology,Series B,9820000.0,Yali Capital,,,2026-05-25,"Karnataka, Dubai"
Verdant Impact,Livestock Tech,Seed,3000000.0,Unicorn India Ventures,,,2026-05-25,Rajasthan
Dazzl,Local Services,Seed,3200000.0,Stellaris Venture Partners,,,2026-05-25,Karnataka
Instafix,Local Services,Seed,789000.0,Titan Capital,,,2026-05-25,Haryana
Edgistify,Logistics Tech,Seed,1400000.0,NB Ventures,,,2026-05-25,Maharashtra
Hexalog,Logistics Tech,Seed,4000000.0,Enrission India Capital,,,2026-05-25,Delhi
Mojro,Logistics Tech,Series A,2500000.0,Dallas Venture Capital,,,2026-05-25,Karnataka
RidEV,Logistics Tech,Debt,551000.0,Kunal Bahl,,,2026-05-25,Telangana
RidEV,Logistics Tech,Angel,110000.0,Kunal Bahl,,,2026-05-25,Telangana
Skye Air,Logistics Tech,Series B,4000000.0,Indian Angel Network,,,2026-05-25,Haryana
JS Auto Cast Foundry,Manufacturing,PE,32799999.999999996,Premji Invest,,,2026-05-25,Tamil Nadu
Jaincord,Manufacturing,Series A,22100000.0,Indroma Ventures,,,2026-05-25,—
EyeROV,Maritime Tech,Seed,1440000.0,AWE Funds,,,2026-05-25,Kerala
Vikra Ocean Tech,Maritime Tech,Seed,1000000.0,Finvolve,,,2026-05-25,Tamil Nadu
Mindcase,MarketingTech,Seed,164000.0,ajvc,,,2026-05-25,Gujarat
Sportvot,Media & Entertainment > OTT,Series A,3460000.0,Indian Angel Network,,,2026-05-25,Maharashtra
EndureAir,Military Tech,Series A,,Sagar Defence Engineering,,,2026-05-25,Uttar Pradesh
Spill Games,Mobile > Mobile Gaming,Seed,3100000.0,PeerCapital,,,2026-05-25,Karnataka
Namma Yatri,Mobility Tech,Seed,4400000.0,Blume Ventures,,,2026-05-25,Karnataka
CraftifAI,Native AI > Artificial Intelligence,Seed,3000000.0,Ankur Capital,,,2026-05-25,Karnataka
Fire AI,Natural Language Processing,Seed,682000.0,SucSEED Indovation,,,2026-05-25,Maharashtra
xStep,Neurology,Angel,111000.0,Kunal Bahl,,,2026-05-25,Karnataka
Sahamati,Nonprofits > Foundations,Series A,5290000.0,State Bank of India,,,2026-05-25,Karnataka
MiniPIX,OTT / Media,Seed,267000.0,PedalStart,,,2026-05-25,Karnataka
MYPB,Online Grocery,Angel,77600.0,Varun Alagh,,,2026-05-25,Gujarat
Troovy,Online Grocery,Series A,5000000.0,Fireside Ventures,,,2026-05-25,Haryana
FreshToHome,Online Meat & Seafood,Debt,8500000.0,Trifecta Capital,,,2026-05-25,Karnataka
TravClan,Online Travel,Seed,,August One,,,2026-05-25,Delhi
